id,vendorId,category,metadata,createdAt,updatedAt
fad36919-ebfe-4011-9504-a56750ad4bd0,50f8e98c-62f3-48df-9420-77b6308af331,ACCOMMODATION,"{""minBudget"": 245586, ""maxBudget"": 1265420, ""maxGuests"": 422, ""hotelRooms"": 202, ""destinationWedding"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
d3bd86c2-42f1-43cd-b7db-373f2550917f,4264bce1-aa70-4b31-85ae-a8def70a8bfc,CATERING,"{""minBudget"": 360040, ""maxBudget"": 4972221, ""maxGuests"": 1332, ""vegOnly"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
6c5ad087-7097-46bc-ba76-ac9b3a9ecc9e,4264bce1-aa70-4b31-85ae-a8def70a8bfc,TECHNICAL,"{""minBudget"": 371110, ""maxBudget"": 4978504, ""maxGuests"": 4090, ""supportsHybrid"": False}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
fea0c45f-be9c-48c5-ae41-d6a1af104dfe,155531e0-1e06-4750-80de-753f9a96cabe,ACCOMMODATION,"{""minBudget"": 362492, ""maxBudget"": 3904036, ""maxGuests"": 1424, ""hotelRooms"": 133, ""destinationWedding"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
d1bf9ba0-382b-4dd9-9f1c-f0f5ef37f1c4,155531e0-1e06-4750-80de-753f9a96cabe,TECHNICAL,"{""minBudget"": 234204, ""maxBudget"": 1220020, ""maxGuests"": 2105, ""supportsHybrid"": False}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
bf1a44e5-4186-41b5-8007-0cb830ab63ea,e3d4d726-c512-42b9-b2eb-d49915ad63a1,ACCOMMODATION,"{""minBudget"": 351676, ""maxBudget"": 4438324, ""maxGuests"": 1378, ""hotelRooms"": 62, ""destinationWedding"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
27cef524-4090-45f5-84ae-e66a752bb6cc,286d7df2-5785-4fd5-9ba0-0418728950c2,CATERING,"{""minBudget"": 265571, ""maxBudget"": 1467390, ""maxGuests"": 215, ""vegOnly"": False}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
e14f3532-c228-4f32-8ffa-c03e8a9fda46,286d7df2-5785-4fd5-9ba0-0418728950c2,TECHNICAL,"{""minBudget"": 464799, ""maxBudget"": 3876813, ""maxGuests"": 2333, ""supportsHybrid"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
308b3540-a2b4-45c4-885f-fed1b7c7dae2,099efa08-d07f-4746-b59a-ba0ac8e12552,FLOOR_SPACE,"{""minBudget"": 343243, ""maxBudget"": 3149211, ""floorSpaceSqFt"": 9588}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
33c4ee35-8bec-4060-9481-75a8d4cb43e9,099efa08-d07f-4746-b59a-ba0ac8e12552,ACCOMMODATION,"{""minBudget"": 437889, ""maxBudget"": 3622526, ""maxGuests"": 1212, ""hotelRooms"": 171, ""destinationWedding"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
91ff578e-ac46-4cee-bec9-3a9baac7e00e,329f0034-6193-44c8-a62f-004a9932f7cb,ACCOMMODATION,"{""minBudget"": 494889, ""maxBudget"": 2658011, ""maxGuests"": 1301, ""hotelRooms"": 114, ""destinationWedding"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
d704e9fa-5530-4fb5-8e17-5be4d278923c,5508a552-7da2-4c0a-afe1-ca27c3b36a65,TECHNICAL,"{""minBudget"": 106777, ""maxBudget"": 1525985, ""maxGuests"": 4683, ""supportsHybrid"": False}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
14fb1098-92f8-4018-8d54-a90188fd6315,5508a552-7da2-4c0a-afe1-ca27c3b36a65,ACCOMMODATION,"{""minBudget"": 346796, ""maxBudget"": 2455249, ""maxGuests"": 244, ""hotelRooms"": 85, ""destinationWedding"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
ca5333d8-b5fc-47b5-a1eb-701c30f709d8,1326e16c-e97c-4919-84ea-bcb40a0d5d19,ACCOMMODATION,"{""minBudget"": 302046, ""maxBudget"": 2466715, ""maxGuests"": 573, ""hotelRooms"": 26, ""destinationWedding"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
cb0de777-b45b-482f-bc83-edb10b2bf3f9,1326e16c-e97c-4919-84ea-bcb40a0d5d19,TECHNICAL,"{""minBudget"": 301046, ""maxBudget"": 4557355, ""maxGuests"": 3529, ""supportsHybrid"": False}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
067be2f3-1065-42de-a828-90403b1b1935,1326e16c-e97c-4919-84ea-bcb40a0d5d19,CATERING,"{""minBudget"": 404603, ""maxBudget"": 1433591, ""maxGuests"": 1582, ""vegOnly"": False}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
6c4307ae-8bad-4a97-8c91-bfba77e6de79,cd48c0a8-be24-467c-9367-a07a74d6760f,ACCOMMODATION,"{""minBudget"": 154914, ""maxBudget"": 3731656, ""maxGuests"": 278, ""hotelRooms"": 152, ""destinationWedding"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
8850fad1-9937-4bbe-86d0-63bf83cda816,aa4fffdb-c520-46c7-af86-7521f27c8569,ACCOMMODATION,"{""minBudget"": 286774, ""maxBudget"": 608381, ""maxGuests"": 824, ""hotelRooms"": 36, ""destinationWedding"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
1e27de73-dea8-42cb-8d8a-43f010f64fc4,aa4fffdb-c520-46c7-af86-7521f27c8569,TECHNICAL,"{""minBudget"": 258200, ""maxBudget"": 605080, ""maxGuests"": 1494, ""supportsHybrid"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
6d10b6cd-5937-4d56-9f7a-5f54f98fb127,ce0f83de-a388-4f15-b512-564f1c789d8a,FLOOR_SPACE,"{""minBudget"": 363205, ""maxBudget"": 1984925, ""floorSpaceSqFt"": 40553}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
e2cf2662-df78-4e5c-a363-02b1a05d1a31,3cf48f6d-6851-4d4e-b905-27d9d904c4c1,ACCOMMODATION,"{""minBudget"": 478305, ""maxBudget"": 2893043, ""maxGuests"": 1081, ""hotelRooms"": 178, ""destinationWedding"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
8d3c1858-e417-45db-b01a-01579dea6587,638d35d7-7a46-486f-9555-60d11398f8fd,CATERING,"{""minBudget"": 422070, ""maxBudget"": 4421371, ""maxGuests"": 1873, ""vegOnly"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
18b6481c-2b66-4411-b5d0-869cf53d6a71,638d35d7-7a46-486f-9555-60d11398f8fd,ACCOMMODATION,"{""minBudget"": 419365, ""maxBudget"": 4098485, ""maxGuests"": 1368, ""hotelRooms"": 95, ""destinationWedding"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
cfdc420f-f205-49d4-b14e-e900f980cfa1,638d35d7-7a46-486f-9555-60d11398f8fd,FLOOR_SPACE,"{""minBudget"": 340766, ""maxBudget"": 4549086, ""floorSpaceSqFt"": 65122}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
86c23de6-4b17-4ae7-aceb-a2d4347318f9,65f08805-9659-4a9b-83eb-a6a46c826b9e,ACCOMMODATION,"{""minBudget"": 137576, ""maxBudget"": 2721258, ""maxGuests"": 1379, ""hotelRooms"": 137, ""destinationWedding"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
e6bcb079-036e-4a34-925b-fa823fc5d0f8,65f08805-9659-4a9b-83eb-a6a46c826b9e,CATERING,"{""minBudget"": 146253, ""maxBudget"": 745472, ""maxGuests"": 1975, ""vegOnly"": False}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
a014f946-69bd-41d2-b061-07e8c3cb4179,65f08805-9659-4a9b-83eb-a6a46c826b9e,TECHNICAL,"{""minBudget"": 112761, ""maxBudget"": 2078946, ""maxGuests"": 445, ""supportsHybrid"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
77996518-e808-46e1-a073-ee748d9e396f,e80522de-3973-4062-bcf2-043ca014d767,CATERING,"{""minBudget"": 364669, ""maxBudget"": 1096374, ""maxGuests"": 1489, ""vegOnly"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
ea3314a0-3915-4353-998b-2fd503cfa077,e80522de-3973-4062-bcf2-043ca014d767,ACCOMMODATION,"{""minBudget"": 339352, ""maxBudget"": 4996109, ""maxGuests"": 752, ""hotelRooms"": 157, ""destinationWedding"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
eb123dc0-7abf-414e-9fd9-fcd54332e211,73aa5f0d-23db-4280-ae0f-f6978299ca10,TECHNICAL,"{""minBudget"": 456270, ""maxBudget"": 4545024, ""maxGuests"": 1441, ""supportsHybrid"": False}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
c3510a58-847e-4f39-a6f6-16a7f77e108f,73aa5f0d-23db-4280-ae0f-f6978299ca10,CATERING,"{""minBudget"": 306790, ""maxBudget"": 4045133, ""maxGuests"": 1699, ""vegOnly"": False}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
7feb74a1-52b7-4917-9329-cef992f9176e,73aa5f0d-23db-4280-ae0f-f6978299ca10,ACCOMMODATION,"{""minBudget"": 348413, ""maxBudget"": 1784115, ""maxGuests"": 1140, ""hotelRooms"": 261, ""destinationWedding"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
2d5c6005-92f3-4ef0-aa79-504c2fded3e8,18855887-4763-46fb-a435-d20682227a09,ACCOMMODATION,"{""minBudget"": 270725, ""maxBudget"": 4345267, ""maxGuests"": 665, ""hotelRooms"": 53, ""destinationWedding"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
868a7546-b744-45b4-a646-f75fc1e5b062,cff3683c-1d95-44fd-9703-3bd61a19db4d,FLOOR_SPACE,"{""minBudget"": 150281, ""maxBudget"": 4489245, ""floorSpaceSqFt"": 15451}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
1e0d47c9-0f8c-4223-ab34-e6d97aa0b915,cff3683c-1d95-44fd-9703-3bd61a19db4d,TECHNICAL,"{""minBudget"": 386190, ""maxBudget"": 3155902, ""maxGuests"": 4386, ""supportsHybrid"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
1001218f-778a-4cef-8e9c-f41606208161,cff3683c-1d95-44fd-9703-3bd61a19db4d,ACCOMMODATION,"{""minBudget"": 103497, ""maxBudget"": 4956114, ""maxGuests"": 525, ""hotelRooms"": 25, ""destinationWedding"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
743601dd-6ba5-4494-999e-47dc0d3dff67,13d759c9-76e2-4a53-9642-a553ae39e219,TECHNICAL,"{""minBudget"": 325380, ""maxBudget"": 4309548, ""maxGuests"": 3404, ""supportsHybrid"": False}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
fb207418-c176-439c-9ac0-051dff2d100f,13d759c9-76e2-4a53-9642-a553ae39e219,CATERING,"{""minBudget"": 342481, ""maxBudget"": 2514802, ""maxGuests"": 982, ""vegOnly"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
b1e9d629-faf6-431b-b527-5347f6c0bd59,13d759c9-76e2-4a53-9642-a553ae39e219,ACCOMMODATION,"{""minBudget"": 387476, ""maxBudget"": 3856455, ""maxGuests"": 178, ""hotelRooms"": 190, ""destinationWedding"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
30dbf30e-62ba-4a2b-b228-a0a8fb64aa21,c1e0cfda-fa19-4d49-b70c-f4960473210f,TECHNICAL,"{""minBudget"": 124497, ""maxBudget"": 3836053, ""maxGuests"": 791, ""supportsHybrid"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
65d72c0a-c957-45bc-ad47-f13a6d01881e,c1e0cfda-fa19-4d49-b70c-f4960473210f,CATERING,"{""minBudget"": 280618, ""maxBudget"": 3441809, ""maxGuests"": 993, ""vegOnly"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
e90240f1-1eda-4ce2-a81d-7eafce22d1f2,c1e0cfda-fa19-4d49-b70c-f4960473210f,ACCOMMODATION,"{""minBudget"": 112421, ""maxBudget"": 3831757, ""maxGuests"": 365, ""hotelRooms"": 172, ""destinationWedding"": True}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
f7ed62ed-a4cc-4d3c-a1b2-a6f6e58a6a7f,c87d1ca3-67a4-49cb-a201-a223f15ac9ec,FLOOR_SPACE,"{""minBudget"": 135148, ""maxBudget"": 1869962, ""floorSpaceSqFt"": 52619}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
165eb382-20d5-46d1-b8d7-3a9a38d1b53b,c87d1ca3-67a4-49cb-a201-a223f15ac9ec,TECHNICAL,"{""minBudget"": 177859, ""maxBudget"": 4116646, ""maxGuests"": 3212, ""supportsHybrid"": False}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
14f4db9a-2b10-418d-b643-38e63471763f,1fa8d1bd-5989-459f-906a-52a049b1713c,FLOOR_SPACE,"{""minBudget"": 387831, ""maxBudget"": 4976098, ""floorSpaceSqFt"": 22635}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
bd245694-3b15-4c3b-ab9d-a12bde563cf9,ad90ffe1-7ffc-4c9a-b9c3-16ab2a4a5460,FLOOR_SPACE,"{""minBudget"": 284913, ""maxBudget"": 617657, ""floorSpaceSqFt"": 30382}",2026-02-23T10:07:06.141899,2026-02-23T10:07:06.141899
